model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
nn|1|[2000, 72, 0, 294883]|0.9652509652509652|0.9823182711198428|0.9997575390210638|1.0|1.0|0.9999998847281789|72|2072
nn|2|[2000, 62, 0, 294893]|0.9699321047526673|0.9847365829640571|0.9997912141570272|1.0|1.0|0.9999998881185266|62|2062
nn|3|[1999, 34, 1, 294921]|0.9832759468765372|0.991321596826184|0.9998821370241282|0.9995|0.9995|0.9999998813378311|35|2033
nn|4|[2000, 62, 0, 294893]|0.9699321047526673|0.9847365829640571|0.9997912141570272|1.0|1.0|0.999999884728179|62|2062
nn|5|[2000, 91, 0, 294864]|0.9564801530368244|0.9777560498655584|0.9996935562627334|1.0|1.0|0.9999998881185265|91|2091
nn|6|[2000, 82, 0, 294873]|0.9606147934678194|0.9799118079372856|0.9997238638851005|1.0|1.0|0.9999998847281789|82|2082
nn|7|[2000, 69, 0, 294886]|0.9666505558240696|0.9830425165888425|0.9997676415618528|1.0|1.0|0.9999998881185266|69|2069
nn|8|[2000, 82, 0, 294873]|0.9606147934678194|0.9799118079372856|0.9997238638851005|1.0|1.0|0.9999998881185266|82|2082
nn|9|[2000, 60, 0, 294895]|0.970873786407767|0.9852216748768473|0.9997979491842198|1.0|1.0|0.9999998864233528|60|2060
nn|10|[1999, 53, 1, 294902]|0.9741715399610137|0.9866732477788748|0.9998181542657979|0.9995|0.9995|0.9999998847281789|54|2052
-|-|-|0.9677796743798149|0.9835630138858835|0.9997747133404051|0.9999|0.9999|0.9999998859148007|-|-
