model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
rf|1|[2000, 27, 0, 294928]|0.986679822397632|0.9932952570151478|0.9999090771328989|1.0|1.0|0.9999999728772185|27|2027
rf|2|[2000, 13, 0, 294942]|0.9935419771485345|0.99676052828308|0.9999562223232477|1.0|1.0|0.9999999864386092|13|2013
rf|3|[2000, 17, 0, 294938]|0.991571641051066|0.9957679860592482|0.9999427522688623|1.0|1.0|0.9999999728772185|17|2017
rf|4|[2000, 17, 0, 294938]|0.991571641051066|0.9957679860592482|0.9999427522688623|1.0|1.0|0.9999999728772186|17|2017
rf|5|[2000, 24, 0, 294931]|0.9881422924901185|0.9940357852882703|0.9999191796736879|1.0|1.0|0.9999999864386093|24|2024
rf|6|[2000, 161, 0, 294794]|0.9254974548819991|0.9613073780341264|0.9994578303109899|1.0|1.0|0.9999999321930464|161|2161
rf|7|[2000, 13, 0, 294942]|0.9935419771485345|0.99676052828308|0.9999562223232477|1.0|1.0|0.9999999864386093|13|2013
rf|8|[2000, 27, 0, 294928]|0.986679822397632|0.9932952570151478|0.9999090771328989|1.0|1.0|0.9999999728772186|27|2027
rf|9|[2000, 17, 0, 294938]|0.991571641051066|0.9957679860592482|0.9999427522688623|1.0|1.0|0.9999999728772185|17|2017
rf|10|[2000, 17, 0, 294938]|0.991571641051066|0.9957679860592482|0.9999427522688623|1.0|1.0|0.9999999728772184|17|2017
-|-|-|0.9840369910668716|0.9918526678155842|0.9998878617972421|1.0|1.0|0.9999999728772184|-|-
