model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
sc|1|[2000, 563, 0, 294392]|0.7803355442840422|0.8766162612316458|0.9981040898452628|1.0|1.0|0.9999676730348697|563|2563
sc|2|[2000, 13, 0, 294942]|0.9935419771485345|0.99676052828308|0.9999562223232477|1.0|1.0|0.999977962740079|13|2013
sc|3|[2000, 17, 0, 294938]|0.991571641051066|0.9957679860592482|0.9999427522688623|1.0|1.0|0.9999711820447187|17|2017
sc|4|[2000, 17, 0, 294938]|0.991571641051066|0.9957679860592482|0.9999427522688623|1.0|1.0|0.9999711820447187|17|2017
sc|5|[2000, 777, 0, 294178]|0.7202016564638098|0.8373456144023446|0.9973834419356468|1.0|1.0|0.9999711820447187|777|2777
sc|6|[2000, 777, 0, 294178]|0.7202016564638098|0.8373456144023446|0.9973834419356468|1.0|1.0|0.9999762675662389|777|2777
sc|7|[2000, 777, 0, 294178]|0.7202016564638098|0.8373456144023446|0.9973834419356468|1.0|1.0|0.9999830482615992|777|2777
sc|8|[2000, 35343, 0, 259612]|0.05355756098867258|0.1016699285768752|0.8809819669646917|1.0|1.0|0.9999627061755183|35343|37343
sc|9|[2000, 17, 0, 294938]|0.991571641051066|0.9957679860592482|0.9999427522688623|1.0|1.0|0.9999711820447187|17|2017
sc|10|[2000, 17, 0, 294938]|0.991571641051066|0.9957679860592482|0.9999427522688623|1.0|1.0|0.9999711820447187|17|2017
-|-|-|0.7954326616016942|0.8470155505535628|0.9870963614015592|1.0|1.0|0.9999723568001899|-|-
