model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
xgboost|1|[1996, 563, 4, 294392]|0.7799921844470497|0.8756306207501645|0.9980906197908774|0.998|0.998|0.9980456171280364|567|2559
xgboost|2|[2000, 777, 0, 294178]|0.7202016564638098|0.8373456144023446|0.9973834419356468|1.0|1.0|0.99868284992626|777|2777
xgboost|3|[2000, 777, 0, 294178]|0.7202016564638098|0.8373456144023446|0.9973834419356468|1.0|1.0|0.99868284992626|777|2777
xgboost|4|[2000, 777, 0, 294178]|0.7202016564638098|0.8373456144023446|0.9973834419356468|1.0|1.0|0.99868284992626|777|2777
xgboost|5|[2000, 777, 0, 294178]|0.7202016564638098|0.8373456144023446|0.9973834419356468|1.0|1.0|0.99868284992626|777|2777
xgboost|6|[2000, 777, 0, 294178]|0.7202016564638098|0.8373456144023446|0.9973834419356468|1.0|1.0|0.99868284992626|777|2777
xgboost|7|[2000, 777, 0, 294178]|0.7202016564638098|0.8373456144023446|0.9973834419356468|1.0|1.0|0.99868284992626|777|2777
xgboost|8|[2000, 35343, 0, 259612]|0.05355756098867258|0.1016699285768752|0.8809819669646917|1.0|1.0|0.940087470970148|35343|37343
xgboost|9|[2000, 777, 0, 294178]|0.7202016564638098|0.8373456144023446|0.9973834419356468|1.0|1.0|0.99868284992626|777|2777
xgboost|10|[2000, 777, 0, 294178]|0.7202016564638098|0.8373456144023446|0.9973834419356468|1.0|1.0|0.99868284992626|777|2777
-|-|-|0.65951629971462|0.7676065464545797|0.9858140122240743|0.9998000000000001|0.9998000000000001|0.9927595887508265|-|-
