model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
nn|1|[3040, 3767, 69, 857407]|0.44659908917291025|0.6131504638967326|0.9955616389539075|0.9778063686072692|0.9778063686072692|0.9988368860944631|3836|6807
nn|2|[3041, 3767, 68, 857407]|0.4466803760282021|0.6132903095694262|0.9955627959823344|0.9781280154390479|0.9781280154390479|0.9988333143323658|3835|6808
nn|3|[3039, 3767, 70, 857407]|0.4465177784307964|0.6130105900151286|0.9955604819254804|0.9774847217754905|0.9774847217754905|0.9988333804415251|3837|6806
nn|4|[3040, 3767, 69, 857407]|0.44659908917291025|0.6131504638967326|0.9955616389539075|0.9778063686072692|0.9778063686072692|0.9988333542966599|3836|6807
nn|5|[3041, 3767, 68, 857407]|0.4466803760282021|0.6132903095694262|0.9955627959823344|0.9781280154390479|0.9781280154390479|0.9988334103213713|3835|6808
nn|6|[3040, 3767, 69, 857407]|0.44659908917291025|0.6131504638967326|0.9955616389539075|0.9778063686072692|0.9778063686072692|0.9988317284595367|3836|6807
nn|7|[3041, 3767, 68, 857407]|0.4466803760282021|0.6132903095694262|0.9955627959823344|0.9781280154390479|0.9781280154390479|0.9988354216085085|3835|6808
nn|8|[3041, 3767, 68, 857407]|0.4466803760282021|0.6132903095694262|0.9955627959823344|0.9781280154390479|0.9781280154390479|0.9988388055010736|3835|6808
nn|9|[3040, 3767, 69, 857407]|0.44659908917291025|0.6131504638967326|0.9955616389539075|0.9778063686072692|0.9778063686072692|0.9988331051734435|3836|6807
nn|10|[3041, 3767, 68, 857407]|0.4466803760282021|0.6132903095694262|0.9955627959823344|0.9781280154390479|0.9781280154390479|0.9988388182000081|3835|6808
-|-|-|0.44663160152634485|0.613206399344919|0.9955621017652782|0.9779350273399805|0.9779350273399805|0.9988348224428956|-|-
