model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
rf|1|[3073, 1389, 36, 859785]|0.688704616763783|0.811781798969753|0.9983512344914802|0.9884207140559665|0.9884207140559665|0.9997637708708736|1425|4462
rf|2|[3073, 1389, 36, 859785]|0.688704616763783|0.811781798969753|0.9983512344914802|0.9884207140559665|0.9884207140559665|0.9997646870616531|1425|4462
rf|3|[3073, 1390, 36, 859784]|0.6885503024871162|0.8116745905969359|0.9983500774630532|0.9884207140559665|0.9884207140559665|0.9998062801808528|1426|4463
rf|4|[3073, 1405, 36, 859769]|0.6862438588655649|0.8100698563332015|0.9983327220366477|0.9884207140559665|0.9884207140559665|0.9998034684873396|1441|4478
rf|5|[3073, 1392, 36, 859782]|0.6882418812989921|0.8114602587800369|0.9983477634061991|0.9884207140559665|0.9884207140559665|0.9997493379714862|1428|4465
rf|6|[3073, 1399, 36, 859775]|0.6871645796064401|0.8107109879963066|0.9983396642072099|0.9884207140559665|0.9884207140559665|0.9997982525867134|1435|4472
rf|7|[3073, 1417, 36, 859757]|0.6844097995545657|0.8087906303460982|0.9983188376955233|0.9884207140559665|0.9884207140559665|0.9998060310576363|1453|4490
rf|8|[3073, 1409, 36, 859765]|0.6856314145470772|0.8096429982874457|0.9983280939229396|0.9884207140559665|0.9884207140559665|0.999750117088472|1445|4482
rf|9|[3072, 1384, 37, 859790]|0.6894075403949731|0.8121612690019828|0.9983558626051884|0.9880990672241878|0.9880990672241878|0.9997600009680473|1421|4456
rf|10|[3073, 1393, 36, 859781]|0.6880877742946708|0.8113531353135314|0.9983466063777721|0.9884207140559665|0.9884207140559665|0.9997618275603861|1429|4466
-|-|-|0.6875146384576966|0.8109427324595047|0.9983422096697495|0.9883885493727886|0.9883885493727886|0.999776377383346|-|-
