model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
sc|1|[3088, 2223, 21, 858951]|0.5814347580493315|0.7334916864608076|0.9974036282097415|0.9932454165326472|0.9932454165326472|0.9987597856337078|2244|5311
sc|2|[3090, 4659, 19, 856515]|0.3987611304684475|0.5691655921900903|0.994587421018347|0.9938887101962046|0.9938887101962046|0.9990584914666853|4678|7749
sc|3|[3087, 2225, 22, 858949]|0.5811370481927711|0.7331670822942643|0.9974001571244604|0.9929237697008685|0.9929237697008685|0.9987378170371466|2247|5312
sc|4|[3088, 2235, 21, 858939]|0.5801239902310728|0.7324478178368121|0.9973897438686171|0.9932454165326472|0.9932454165326472|0.9987671174009323|2256|5323
sc|5|[3090, 4678, 19, 856496]|0.39778578784757984|0.5681713707823849|0.9945654374782334|0.9938887101962046|0.9938887101962046|0.9989754439828209|4697|7768
sc|6|[3088, 2232, 21, 858942]|0.5804511278195489|0.7327085063471349|0.9973932149538982|0.9932454165326472|0.9932454165326472|0.9987592207178684|2253|5320
sc|7|[3089, 2220, 20, 858954]|0.5818421548314183|0.7339035400332621|0.9974082563234496|0.9935670633644259|0.9935670633644259|0.9987726588051312|2240|5309
sc|8|[3090, 4447, 19, 856727]|0.4099774446066074|0.5804997182040202|0.9948327110448777|0.9938887101962046|0.9938887101962046|0.9993534400957712|4466|7537
sc|9|[3088, 4635, 21, 856539]|0.3998446199663343|0.5701624815361891|0.9946128756437417|0.9932454165326472|0.9932454165326472|0.9989999402276089|4656|7723
sc|10|[3090, 4652, 19, 856522]|0.39912167398605014|0.5695327619574233|0.9945955202173362|0.9938887101962046|0.9938887101962046|0.9990521645960332|4671|7742
-|-|-|0.49104797359991614|0.6523250557642388|0.9960188965882704|0.9935027339980701|0.9935027339980701|0.9989236079963707|-|-
