model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
nn|1|[5989, 1681, 125, 93986]|0.7808344198174707|0.8689785258270458|0.982256020278834|0.9795551193981027|0.9795551193981027|0.9976686010254487|1806|7670
nn|2|[5989, 1681, 125, 93986]|0.7808344198174707|0.8689785258270458|0.982256020278834|0.9795551193981027|0.9795551193981027|0.997667498287996|1806|7670
nn|3|[5989, 1681, 125, 93986]|0.7808344198174707|0.8689785258270458|0.982256020278834|0.9795551193981027|0.9795551193981027|0.9976676607066904|1806|7670
nn|4|[5988, 1681, 126, 93986]|0.780805841700352|0.8688964666618298|0.9822461952623771|0.9793915603532876|0.9793915603532876|0.9976688010568937|1807|7669
nn|5|[5988, 1681, 126, 93986]|0.780805841700352|0.8688964666618298|0.9822461952623771|0.9793915603532876|0.9793915603532876|0.9976676931904294|1807|7669
nn|6|[5989, 1681, 125, 93986]|0.7808344198174707|0.8689785258270458|0.982256020278834|0.9795551193981027|0.9795551193981027|0.9976682633655309|1806|7670
nn|7|[5989, 1681, 125, 93986]|0.7808344198174707|0.8689785258270458|0.982256020278834|0.9795551193981027|0.9795551193981027|0.9976682787525654|1806|7670
nn|8|[5988, 1681, 126, 93986]|0.780805841700352|0.8688964666618298|0.9822461952623771|0.9793915603532876|0.9793915603532876|0.9976686078641306|1807|7669
nn|9|[5989, 1681, 125, 93986]|0.7808344198174707|0.8689785258270458|0.982256020278834|0.9795551193981027|0.9795551193981027|0.9976682479784968|1806|7670
nn|10|[5989, 1681, 125, 93986]|0.7808344198174707|0.8689785258270458|0.982256020278834|0.9795551193981027|0.9795551193981027|0.9976691472651638|1806|7670
-|-|-|0.7808258463823352|0.8689539080774811|0.982253072773897|0.9795060516846583|0.9795060516846583|0.9976682799493346|-|-
