model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
rf|1|[5925, 273, 189, 95394]|0.9559535333978703|0.9624756335282652|0.995460842396911|0.9690873405299313|0.9690873405299313|0.9976471532094076|462|6198
rf|2|[5927, 262, 187, 95405]|0.9576668282436581|0.9635048362188084|0.9955885676108508|0.9694144586195617|0.9694144586195617|0.9977667190136991|449|6189
rf|3|[5931, 275, 183, 95392]|0.955688043828553|0.9628246753246753|0.9955001424627387|0.9700686947988224|0.9700686947988224|0.997895708521619|458|6206
rf|4|[5932, 275, 182, 95392]|0.9556951828580634|0.9629088548007466|0.9955099674791955|0.9702322538436375|0.9702322538436375|0.9977455242288875|457|6207
rf|5|[5928, 273, 186, 95394]|0.9559748427672956|0.9627283800243606|0.9954903174462817|0.9695780176643768|0.9695780176643768|0.9978651293555998|459|6201
rf|6|[5932, 275, 182, 95392]|0.9556951828580634|0.9629088548007466|0.9955099674791955|0.9702322538436375|0.9702322538436375|0.9977448283930063|457|6207
rf|7|[5932, 275, 182, 95392]|0.9556951828580634|0.9629088548007466|0.9955099674791955|0.9702322538436375|0.9702322538436375|0.9977446061358453|457|6207
rf|8|[5931, 261, 183, 95406]|0.9578488372093024|0.9639200390053633|0.9956376926931353|0.9700686947988224|0.9700686947988224|0.9974847362244662|444|6192
rf|9|[5926, 273, 188, 95394]|0.9559606388127118|0.9625598960448307|0.9954706674133679|0.9692508995747465|0.9692508995747465|0.9975452995911813|461|6199
rf|10|[5931, 274, 183, 95393]|0.9558420628525383|0.9629028330221608|0.9955099674791955|0.9700686947988224|0.9700686947988224|0.9979423517513706|457|6205
-|-|-|0.9562020335686119|0.9629642857570705|0.9955188099940069|0.9698233562315994|0.9698233562315994|0.9977382056425084|-|-
