model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
sc|1|[6008, 1833, 106, 93834]|0.7662287973472771|0.8610533858831959|0.980949293090066|0.9826627412495911|0.9826627412495911|0.997831541169554|1939|7841
sc|2|[6008, 1833, 106, 93834]|0.7662287973472771|0.8610533858831959|0.980949293090066|0.9826627412495911|0.9826627412495911|0.9975180842018109|1939|7841
sc|3|[6008, 1771, 106, 93896]|0.7723357758066589|0.8648959907867271|0.9815584441103938|0.9826627412495911|0.9826627412495911|0.9980363588369767|1877|7779
sc|4|[6007, 952, 107, 94715]|0.8631987354504957|0.9189933450623422|0.9895953075721402|0.982499182204776|0.982499182204776|0.9976492902974946|1059|6959
sc|5|[6008, 1833, 106, 93834]|0.7662287973472771|0.8610533858831959|0.980949293090066|0.9826627412495911|0.9826627412495911|0.9978655037734325|1939|7841
sc|6|[6008, 1833, 106, 93834]|0.7662287973472771|0.8610533858831959|0.980949293090066|0.9826627412495911|0.9826627412495911|0.9974287316940582|1939|7841
sc|7|[6008, 1833, 106, 93834]|0.7662287973472771|0.8610533858831959|0.980949293090066|0.9826627412495911|0.9826627412495911|0.9974287316940582|1939|7841
sc|8|[6008, 1833, 106, 93834]|0.7662287973472771|0.8610533858831959|0.980949293090066|0.9826627412495911|0.9826627412495911|0.997529800573539|1939|7841
sc|9|[6008, 1833, 106, 93834]|0.7662287973472771|0.8610533858831959|0.980949293090066|0.9826627412495911|0.9826627412495911|0.9978623434475695|1939|7841
sc|10|[6007, 952, 107, 94715]|0.8631987354504957|0.9189933450623422|0.9895953075721402|0.982499182204776|0.982499182204776|0.9976537328762098|1059|6959
-|-|-|0.7862334828138591|0.8730256382093783|0.9827394110885136|0.982630029440628|0.982630029440628|0.9976804118564704|-|-
