model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
xgboost|1|[6103, 3578, 11, 92089]|0.6304100816031402|0.7727761949984172|0.9647380159361767|0.998200850507033|0.998200850507033|0.9804001419792422|3589|9681
xgboost|2|[6110, 14218, 4, 81449]|0.3005706414797324|0.46214355948869223|0.8602686159499318|0.9993457638207393|0.9993457638207393|0.9253630363000755|14222|20328
xgboost|3|[6102, 3478, 12, 92189]|0.6369519832985386|0.7776220211545815|0.9657106925654101|0.9980372914622179|0.9980372914622179|0.9808410087193913|3490|9580
xgboost|4|[6109, 13320, 5, 82347]|0.31442688764218435|0.478330658105939|0.8690816557117733|0.9991822047759241|0.9991822047759241|0.9299746202154261|13325|19429
xgboost|5|[6103, 3578, 11, 92089]|0.6304100816031402|0.7727761949984172|0.9647380159361767|0.998200850507033|0.998200850507033|0.9804001419792422|3589|9681
xgboost|6|[6110, 14218, 4, 81449]|0.3005706414797324|0.46214355948869223|0.8602686159499318|0.9993457638207393|0.9993457638207393|0.9253630363000755|14222|20328
xgboost|7|[6110, 14218, 4, 81449]|0.3005706414797324|0.46214355948869223|0.8602686159499318|0.9993457638207393|0.9993457638207393|0.9253630363000755|14222|20328
xgboost|8|[6110, 14218, 4, 81449]|0.3005706414797324|0.46214355948869223|0.8602686159499318|0.9993457638207393|0.9993457638207393|0.9253630363000755|14222|20328
xgboost|9|[6103, 3578, 11, 92089]|0.6304100816031402|0.7727761949984172|0.9647380159361767|0.998200850507033|0.998200850507033|0.9804001419792422|3589|9681
xgboost|10|[6109, 13320, 5, 82347]|0.31442688764218435|0.478330658105939|0.8690816557117733|0.9991822047759241|0.9991822047759241|0.9299746202154261|13325|19429
-|-|-|0.4359318569311258|0.5901186160316481|0.9039162515597216|0.9988387307818121|0.9988387307818121|0.9483442820288271|-|-
