model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
lr|1|[4882, 297, 23, 437311]|0.942653021818884|0.9682665608885364|0.9992768574030594|0.9953109072375127|0.9953109072375127|0.9997690258249644|320|5179
lr|2|[4882, 283, 23, 437325]|0.9452081316553727|0.96961271102284|0.9993084948916755|0.9953109072375127|0.9953109072375127|0.9997690048602837|306|5165
lr|3|[4880, 283, 25, 437325]|0.9451869068371102|0.9694080254270957|0.9993039752504446|0.9949031600407747|0.9949031600407747|0.999768706695938|308|5163
lr|4|[4882, 285, 23, 437323]|0.9448422682407587|0.9694201747418585|0.9993039752504446|0.9953109072375127|0.9953109072375127|0.9997689228650888|308|5167
lr|5|[4880, 283, 25, 437325]|0.9451869068371102|0.9694080254270957|0.9993039752504446|0.9949031600407747|0.9949031600407747|0.9997691800318369|308|5163
lr|6|[4882, 287, 23, 437321]|0.9444766879473786|0.9692277149096684|0.9992994556092137|0.9953109072375127|0.9953109072375127|0.999769436732703|310|5169
lr|7|[4880, 283, 25, 437325]|0.9451869068371102|0.9694080254270957|0.9993039752504446|0.9949031600407747|0.9949031600407747|0.9997688618345741|308|5163
lr|8|[4880, 279, 25, 437329]|0.9459197518899012|0.9697933227344993|0.9993130145329063|0.9949031600407747|0.9949031600407747|0.9997685534208292|304|5159
lr|9|[4884, 299, 21, 437309]|0.9423114026625506|0.9682791435368755|0.9992768574030594|0.9957186544342508|0.9957186544342508|0.9997692308129519|320|5183
lr|10|[4884, 299, 21, 437309]|0.9423114026625506|0.9682791435368755|0.9992768574030594|0.9957186544342508|0.9957186544342508|0.9997691627942107|320|5183
-|-|-|0.9443283387388727|0.969110284765244|0.9992967438244751|0.9952293577981651|0.9952293577981651|0.999769008587338|-|-
