model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
nn|1|[4877, 279, 28, 437329]|0.9458882854926299|0.9694861345790676|0.9993062350710601|0.9942915392456677|0.9942915392456677|0.9997663698328794|307|5156
nn|2|[4875, 277, 30, 437331]|0.9462344720496895|0.969473998210202|0.9993062350710601|0.9938837920489296|0.9938837920489296|0.9997663297670455|307|5152
nn|3|[4877, 277, 28, 437331]|0.946255335661622|0.9696788945223184|0.9993107547122909|0.9942915392456677|0.9942915392456677|0.9997660604873708|305|5154
nn|4|[4875, 277, 30, 437331]|0.9462344720496895|0.969473998210202|0.9993062350710601|0.9938837920489296|0.9938837920489296|0.9997660292732908|307|5152
nn|5|[4875, 277, 30, 437331]|0.9462344720496895|0.969473998210202|0.9993062350710601|0.9938837920489296|0.9938837920489296|0.9997660716685337|307|5152
nn|6|[4877, 277, 28, 437331]|0.946255335661622|0.9696788945223184|0.9993107547122909|0.9942915392456677|0.9942915392456677|0.9997661047461409|305|5154
nn|7|[4877, 277, 28, 437331]|0.946255335661622|0.9696788945223184|0.9993107547122909|0.9942915392456677|0.9942915392456677|0.9997660446473897|305|5154
nn|8|[4875, 277, 30, 437331]|0.9462344720496895|0.969473998210202|0.9993062350710601|0.9938837920489296|0.9938837920489296|0.9997660371932812|307|5152
nn|9|[4880, 283, 25, 437325]|0.9451869068371102|0.9694080254270957|0.9993039752504446|0.9949031600407747|0.9949031600407747|0.9997661601860739|308|5163
nn|10|[4877, 279, 28, 437329]|0.9458882854926299|0.9694861345790676|0.9993062350710601|0.9942915392456677|0.9942915392456677|0.9997660917014507|307|5156
-|-|-|0.9460667373005995|0.9695312970992994|0.9993073649813677|0.9941896024464831|0.9941896024464831|0.9997661299503457|-|-
