model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
rf|1|[4775, 701, 130, 436907]|0.8719868517165814|0.9199499084866583|0.9981220890685697|0.9734964322120285|0.9734964322120285|0.9996081955110574|831|5476
rf|2|[4775, 658, 130, 436950]|0.8788882753543162|0.9237763590636486|0.9982192613550336|0.9734964322120285|0.9734964322120285|0.9996192984058773|788|5433
rf|3|[4792, 633, 113, 436975]|0.8833179723502305|0.927783155856728|0.9983141738208821|0.9769622833843017|0.9769622833843017|0.9996544459257621|746|5425
rf|4|[4766, 776, 139, 436832]|0.8599783471670877|0.9124150473820235|0.9979322641368729|0.9716615698267075|0.9716615698267075|0.9995549307801221|915|5542
rf|5|[4743, 656, 162, 436952]|0.8784960177810706|0.9206133540372671|0.9981514667365704|0.9669724770642202|0.9669724770642202|0.9995975105122032|818|5399
rf|6|[4789, 629, 116, 436979]|0.8839055001845699|0.9278310568633148|0.9983164336414976|0.9763506625891947|0.9763506625891947|0.9997608880347971|745|5418
rf|7|[4767, 658, 138, 436950]|0.8787096774193548|0.9229428848015488|0.9982011827901102|0.9718654434250764|0.9718654434250764|0.9995848893086298|796|5425
rf|8|[4818, 633, 87, 436975]|0.8838745184369841|0.9304750869061413|0.9983729291568836|0.982262996941896|0.982262996941896|0.9996730485856379|720|5451
rf|9|[4821, 632, 84, 436976]|0.8841004951402898|0.9308746862328634|0.9983819684393452|0.982874617737003|0.982874617737003|0.999637219946576|716|5453
rf|10|[4767, 776, 138, 436832]|0.860003608154429|0.9125191424196019|0.9979345239574883|0.9718654434250764|0.9718654434250764|0.9995689943537177|914|5543
-|-|-|0.8763261263704913|0.9229180682049796|0.9981946293103252|0.9747808358817533|0.9747808358817533|0.999625942136438|-|-
