model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
sc|1|[4881, 655, 24, 436953]|0.8816835260115607|0.9349679149506752|0.9984655818021165|0.9951070336391438|0.9951070336391438|0.9991909294175856|679|5536
sc|2|[4880, 639, 25, 436969]|0.8842181554629461|0.9363008442056792|0.9984994791113482|0.9949031600407747|0.9949031600407747|0.9993338947954313|664|5519
sc|3|[4881, 619, 24, 436989]|0.8874545454545455|0.9382027871215761|0.9985469353442724|0.9951070336391438|0.9951070336391438|0.999348341556799|643|5500
sc|4|[4876, 677, 29, 436931]|0.8780839186025572|0.9324918722509085|0.9984045666454997|0.9940876656472987|0.9940876656472987|0.9994614814153885|706|5553
sc|5|[4876, 554, 29, 437054]|0.8979742173112338|0.9435897435897436|0.9986825245811988|0.9940876656472987|0.9940876656472987|0.9993744446805535|583|5430
sc|6|[4881, 637, 24, 436971]|0.8845596230518303|0.9365825578048547|0.9985062585731944|0.9951070336391438|0.9951070336391438|0.9994176782777268|661|5518
sc|7|[4880, 643, 25, 436965]|0.8835777657070433|0.9359416954353662|0.9984904398288864|0.9949031600407747|0.9949031600407747|0.9993119766877969|668|5523
sc|8|[4880, 644, 25, 436964]|0.8834178131788559|0.935851951289673|0.998488180008271|0.9949031600407747|0.9949031600407747|0.9992946510099078|669|5524
sc|9|[4885, 591, 20, 437017]|0.8920745069393718|0.9411424718235238|0.9986192496039664|0.9959225280326198|0.9959225280326198|0.9994121352161891|611|5476
sc|10|[4881, 670, 24, 436938]|0.8793010268420105|0.93362662586075|0.998431684492885|0.9951070336391438|0.9951070336391438|0.9993823604780476|694|5551
-|-|-|0.8852345098561957|0.936869846433275|0.9985134899991639|0.9949235474006117|0.9949235474006117|0.9993527893535428|-|-
