model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
xgboost|1|[4899, 5005, 6, 432603]|0.4946486268174475|0.6616246876899183|0.9886760388960324|0.998776758409786|0.998776758409786|0.9936697908792682|5011|9904
xgboost|2|[4904, 50383, 1, 387225]|0.08870077956843381|0.1629452418926103|0.8861411981116939|0.999796126401631|0.999796126401631|0.9423317024395862|50384|55287
xgboost|3|[4903, 50308, 2, 387300]|0.0888047671659633|0.1631179719209528|0.8863084248372364|0.999592252803262|0.999592252803262|0.9423154587721545|50310|55211
xgboost|4|[4900, 8538, 5, 429070]|0.3646375948801905|0.5342637518399389|0.9806943524823|0.9989806320081549|0.9989806320081549|0.9897350098853593|8543|13438
xgboost|5|[4900, 20142, 5, 417466]|0.19567127226259884|0.3272447991451564|0.9544713940607394|0.9989806320081549|0.9989806320081549|0.9764765685405942|20147|25042
xgboost|6|[4903, 19860, 2, 417748]|0.19799701167063766|0.3305244708103007|0.9551154429361397|0.999592252803262|0.999592252803262|0.9771045851135375|19862|24763
xgboost|7|[4901, 51960, 4, 385648]|0.08619264522256027|0.1586957225658129|0.8825706815392994|0.9991845056065239|0.9991845056065239|0.9402240511250476|51964|56861
xgboost|8|[4901, 5319, 4, 432289]|0.47954990215264187|0.6480661157024794|0.9879709748640153|0.9991845056065239|0.9991845056065239|0.9935148958993661|5323|10220
xgboost|9|[4903, 24179, 2, 413429]|0.1685922563785159|0.2885220819725189|0.9453552776980563|0.999592252803262|0.999592252803262|0.9721698032996768|24181|29082
xgboost|10|[4901, 6780, 4, 430828]|0.4195702422737779|0.5909803448691667|0.9846693769448581|0.9991845056065239|0.9991845056065239|0.9918455936928251|6784|11681
-|-|-|0.2584365098392768|0.38659851884088553|0.9451973162370371|0.9992864424057084|0.9992864424057084|0.9719387459647415|-|-
